City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
164,birjand,32.8663,59.2211,31.3,12,0,5.16,IR,1690348023
165,i-n-salah,27.1935,2.4607,34.6,9,6,3.25,DZ,1690348024
166,southeast arcadia,27.1863,-81.8521,26.57,90,77,1.47,US,1690348024
167,georgetown,5.4112,100.3354,32.96,74,40,2.57,MY,1690347776
168,bria,6.5423,21.9863,20.15,99,100,0.82,CF,1690348024
169,iskateley,67.6803,53.1512,19.32,68,75,0.58,RU,1690348024
170,susuman,62.7833,148.1667,19.02,61,100,3.81,RU,1690348024
171,usogorsk,63.4106,48.6872,17.92,68,28,1.99,RU,1690348025
172,preobrazheniye,42.9019,133.9064,25.62,73,99,5.09,RU,1690348025
173,bilibino,68.0546,166.4372,10.79,92,100,0.63,RU,1690348025
174,caraballeda,10.6112,-66.8522,27.43,89,75,1.03,VE,1690348025
175,malvan,16.0667,73.4667,25.74,88,100,8.02,IN,1690348025
176,sydney,-33.8679,151.2073,23.12,43,0,2.57,AU,1690347875
177,blackwell,36.8045,-97.2828,30.27,55,0,7.2,US,1690348008
178,kulhudhuffushi,6.6221,73.07,27.84,76,100,3.78,MV,1690348025
179,lisakovsk,52.5369,62.4936,22.18,64,100,2.72,KZ,1690348026
180,dudinka,69.4058,86.1778,24.79,47,0,4.25,RU,1690348026
181,tongliao,43.6125,122.2653,33.0,44,5,5.97,CN,1690347938
182,atmakur,15.8833,78.5833,23.1,95,100,6.27,IN,1690348026
183,aberystwyth,52.4155,-4.0829,10.51,83,67,3.35,GB,1690348026
184,javea,38.7833,0.1667,26.85,83,20,3.58,ES,1690348026
185,xilin hot,43.9667,116.0333,29.69,36,100,7.14,CN,1690348026
186,kiunga,-6.1219,141.2906,26.92,75,98,1.11,PG,1690348026
187,amasra,41.7463,32.3863,25.24,51,0,2.12,TR,1690348027
188,molde,62.7375,7.1591,14.84,94,40,2.06,NO,1690348027
189,talnakh,69.4865,88.3972,24.56,46,0,0.82,RU,1690348027
190,sitka,57.0531,-135.33,15.94,82,100,1.54,US,1690348027
191,emerald,-23.5333,148.1667,22.97,38,1,7.64,AU,1690348027
192,suonenjoki,62.6167,27.1333,16.78,75,98,1.32,FI,1690348027
193,lan sak,15.4529,99.5761,32.39,53,98,2.03,TH,1690348027
194,yeppoon,-23.1333,150.7333,22.88,72,84,8.59,AU,1690348027
195,mabaruma,8.2,-59.7833,23.24,99,25,1.13,GY,1690347800
196,qamdo,31.1667,97.2333,12.19,59,90,4.03,CN,1690347921
197,tomatlan,19.9333,-105.25,24.92,86,100,1.33,MX,1690348028
198,antsiranana,-12.2787,49.2917,24.06,64,6,6.96,MG,1690348028
199,colonia,50.9333,6.95,14.36,80,0,2.06,DE,1690347868
200,revda,56.801,59.9303,21.77,50,21,3.16,RU,1690348028
201,alofi,-19.0595,-169.9187,22.17,71,25,3.28,NU,1690348028
202,celestun,20.8667,-90.4,27.9,76,63,7.02,MX,1690348028
